customer_type,first_name,last_name,company_name,email,phone_number,dob,sex
Individual,Zoe,Edwards,,zoe83@gmail.net,+44(0)1914960841,1975-11-01,Female
Business,,,Stone-Humphreys,info@stone-humphreys.com,+44116 4960325,,
Individual,Steven,Ryan,,ryan.steven@outlook.co.uk,+44161 4960567,1979-03-06,Male
Individual,Mohammed,Owen,,owen.mohammed@outlook.me,+44(0)141 496 0462,1957-06-29,Male
Individual,Joshua,Wilson,,joshua96@gmail.co.uk,+44(0)115 496 0635,1959-04-03,Male
Individual,George,Lucas,,lucas.george@outlook.com,0306 9990400,1954-03-10,Male
Individual,Stanley,Davies,,stanley48@yahoo.org,,1971-05-07,Male
Individual,Karen,Oliver,,karen40@gmail.net,+44306 999 0331,1968-06-01,Female
Individual,Kirsty,Hill,,khill@gmail.net,03069990273,1982-01-21,Female
Individual,Jordan,Taylor,,jtaylor@gmail.net,(0161) 4960832,1973-02-21,Male
Business,,,Jones-Smith,jon82@jones-smith.com,(0115) 4960832,,
Business,,,Hall Ltd,support@hallltd.com,+44(0)1632 960677,,
Individual,Lynne,Sharp,,sharp.lynne@gmail.net,(0909)8790501,1962-05-26,Female
Individual,Brandon,Williams,,brandon20@outlook.co.uk,+44(0)151 4960488,1980-03-09,Male
Individual,Vincent,Kirby,,vkirby@gmail.co.uk,+44(0)141 496 0401,1955-03-02,Male
Individual,Jeffrey,Smith,,jeffreysmith675@yahoo.io,(0151) 496 0174,2002-12-29,Male
Individual,Cameron,Bevan,,cameron.bevan@yahoo.io,+441214960090,1980-09-20,Male
Individual,Brenda,Smith,,brenda_smith@outlook.io,+441614960569,1995-08-13,Female
Individual,Kenneth,Smith,,kennethsmith760@outlook.co.uk,0118 4960895,1969-07-22,Male
Individual,Helen,Jones,,helenjones980@gmail.net,(0118) 496 0621,1988-12-17,Female
Individual,Rosemary,Owens,,owens.rosemary@yahoo.net,+44(0)191 4960473,1960-12-04,Female
Individual,Terry,Nelson,,nelson.terry@yahoo.us,,2002-02-02,Male
Individual,Philip,McDonald,,,+443069990197,1996-02-28,Male
Individual,Amelia,Brown,,amelia_brown@gmail.net,029 2018514,1997-05-31,Female
Individual,Michelle,Newman,,michelle.newman@yahoo.io,+441314960296,1978-11-22,Female
Individual,Timothy,Clark,,timothy48@gmail.com,0151 496 0196,1958-04-04,Male
Individual,Ruth,Dobson,,ruth97@gmail.org,(0141) 4960464,2003-12-18,Female
Individual,Joan,King,,joank@outlook.co.uk,+44(0)117 4960549,1993-12-22,Female
Individual,Sandra,Shaw,,,(0118)4960295,1993-11-03,Female
Individual,Mark,Goddard,,markgoddard382@yahoo.us,(01632) 960 804,1989-08-24,Male
Business,,,Wright Ltd,sales@wrightltd.com,+44(0)1154960425,,
Individual,Aimee,Hyde,,aimee_hyde@gmail.org,01144960151,1989-07-17,Female
Individual,Shannon,Shah,,shannon63@gmail.com,+44(0)161 4960882,1967-07-07,Female
Individual,Molly,Wyatt,,mollyw@gmail.org,+44808 157 0712,1991-04-11,Female
Individual,Lindsey,Howells,,lindsey_howells@yahoo.net,(0909) 879 0060,2000-03-21,Female
Business,,,"Bryan, Smith and Clark",contact@bryansmithandclark.com,+44(0)191 4960843,,
Individual,Shirley,Turner,,shirleyturner275@outlook.co.uk,(0191)4960790,1962-03-09,Female
